#alpha-syn 1:0 Protein:SPM
#Epsilon	#Rg (nm)	#Std. dev.
0.06	3.622943e+00  	4.471673e-02
0.07	3.170856e+00  	2.147204e-02
0.08	3.621530e+00  	4.014235e-02
0.09	3.258134e+00  	1.346195e-02
0.1	2.970042e+00  	7.862087e-03
0.11	2.797380e+00  	2.370532e-02
0.12	2.790517e+00  	2.114530e-02
0.13	2.646625e+00  	3.136927e-02
0.14	2.595528e+00  	1.831547e-02
0.15	2.448260e+00  	2.430069e-02
0.16	2.320805e+00  	1.358237e-02
0.17	2.235372e+00  	1.319155e-02

#alpha-syn 1:20 Protein:SPM
#Epsilon	#Rg (nm)	#Std. dev.
0.06	4.022318e+00  	8.577758e-03
0.07	4.370195e+00  	3.956754e-03
0.08	3.902003e+00  	1.738677e-02
0.09	4.126784e+00  	1.721864e-02
0.1	4.068382e+00  	2.546534e-02
0.11	3.771869e+00  	3.493765e-02
0.13	3.515920e+00  	2.290881e-02
0.14	3.398199e+00  	2.637663e-02
0.15	3.358698e+00  	2.369104e-02
0.16	3.171540e+00  	4.707301e-03
0.17	3.014801e+00  	1.984635e-02

#Tau 1:0 Protein:SPM
#Epsilon	#Rg (nm)	#Std. dev.
0.06	6.435093e+00  	7.040356e-02
0.07	6.101847e+00  	9.788610e-02
0.08	5.461183e+00  	7.991588e-02
0.09	6.185809e+00  	1.958193e-01
0.1	4.719069e+00  	2.046535e-02
0.11	4.823918e+00  	6.133028e-02
0.12	4.878613e+00  	3.193137e-02
0.13	3.998193e+00  	3.356323e-02
0.14	4.066535e+00  	5.962694e-02
0.15	3.609273e+00  	4.231640e-02
0.16	3.334937e+00  	3.971131e-02
0.17	3.143831e+00  	7.699353e-03

#Tau 1:20 Protein:SPM
#Epsilon	#Rg (nm)	#Std. dev.
0.06	8.354106e+00  	7.863089e-02
0.07	8.890526e+00  	2.440148e-01
0.08	7.352842e+00  	2.845687e-02
0.09	7.048215e+00  	1.148270e-01
0.1	7.943484e+00  	1.428195e-01
0.11	7.228978e+00  	2.509740e-01
0.12	6.193756e+00  	1.794402e-01
0.13	5.857672e+00  	2.801476e-01
0.14	4.805712e+00  	1.116684e-01
0.15	4.197335e+00  	1.104395e-01
0.16	3.708335e+00  	2.735819e-02
0.17	3.074033e+00  	1.915569e-02
